id,region,region_url,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
7034441763,12,12,17899,2012,38,0,3,2,63500,0,  ,0,0,3,0,6,40.7372,-111.858
7034440610,12,12,0,2016,12,0,,2,10,0,0,0,,,,6,40.5881,-111.884
7034440588,12,12,46463,2015,13,0,,2,7554,0,0,0,,,10,6,40.5881,-111.884
7034440546,12,12,0,2016,12,0,,2,10,0,0,0,,,,6,40.5881,-111.884
7034406932,12,12,49999,2018,12,,,0,70150,0,0,0,,6,10,6,40.3744,-104.694
7034406582,12,12,13999,2009,32,,,2,120057,0,0,0,,6,9,6,40.3744,-104.694
7034405619,12,12,34500,2017,12,,,0,95484,0,0,0,,6,10,6,40.3744,-104.694
7034405349,12,12,14500,2007,13,,,2,89340,0,0,0,,6,,6,40.3744,-104.694
7034404595,12,12,12500,2013,12,,,2,226031,0,0,0,,6,10,6,40.3744,-104.694
7034401857,12,12,34500,2012,32,,,0,128153,0,0,0,,6,9,6,40.3744,-104.694
7034401494,12,12,5900,1994,12,,,2,168838,0,1,0,2,6,10,6,40.3744,-104.694
7034400341,12,12,16500,2013,13,,,4,156385,0,0,0,,8,9,6,40.3744,-104.694
7034398060,12,12,14500,2007,37,,,2,135287,0,0,0,,6,,6,40.3744,-104.694
7034396354,12,12,27999,2015,13,,,2,73612,0,0,0,,6,2,6,40.3744,-104.694
7034395505,12,12,14999,2004,32,,,0,235790,0,0,0,,6,1,6,40.3744,-104.694
7034395342,12,12,24999,2014,32,,,0,158156,0,0,0,,6,10,6,40.3744,-104.694
7034394805,12,12,35500,2015,13,,,0,127515,0,0,0,,6,0,6,40.3744,-104.694
7034385254,12,12,8999,2002,7,,,2,179098,0,0,0,,6,10,6,40.3744,-104.694
7034384679,12,12,5999,2003,25,,,2,185220,0,0,,1,7,9,6,40.3744,-104.694
7034384490,12,12,63500,2019,12,,,0,20930,0,0,0,,6,0,6,40.3744,-104.694
7034384400,12,12,13500,2010,13,,,2,231570,0,0,0,,6,9,6,40.3744,-104.694
7034374035,12,12,31895,2008,19,0,6,2,75000,0,0,0,,,,6,19.7452,-155.901
7034366554,12,12,9500,2001,12,2,6,0,,0,0,0,1,,5,6,39.9542,-111.715
7034290597,12,12,57995,,,,6,,9458,0,0,0,,6,5,6,33.4583,-111.926
7034278551,12,12,4600,2008,15,2,3,2,110982,0,0,1,2,7,5,6,40.7499,-111.926
7034261745,12,12,32995,2014,13,,6,,93242,0,0,0,,6,5,6,33.4583,-111.926
7034229439,12,12,39995,,,,6,,15708,0,0,0,,6,0,6,33.4583,-111.926
7034206084,12,12,26950,2015,32,,5,0,68013,4,0,0,,9,10,6,40.7476,-111.939
7034195717,12,12,39995,2016,7,,6,2,23773,0,0,0,,6,0,6,33.4583,-111.926
7033845439,12,12,8300,2016,7,3,,1,28000,0,0,,,,,6,40.7009,-112.081
7034166384,12,12,30000,1992,,0,6,0,13000,0,0,0,,,,6,31.9045,-110.214
7034158475,12,12,43995,,,,5,,7238,0,0,0,,6,0,6,33.4583,-111.926
7034118739,12,12,37995,2017,32,,6,2,21125,0,0,0,,6,10,6,33.4583,-111.926
7034078036,12,12,43995,,,,6,2,9968,0,0,0,,6,8,6,33.4583,-111.926
7034037779,12,12,59995,,,,6,,9228,0,0,0,,6,10,6,33.4583,-111.926
7034014908,12,12,27476,2015,22,,5,2,41245,0,0,0,,8,,6,39.6405,-104.961
7033992818,12,12,23500,2011,6,,6,2,80855,0,0,0,,8,,6,39.6405,-104.961
7033974897,12,12,15475,2016,9,,5,2,58103,0,0,1,,,,6,39.6405,-104.961
7033963404,12,12,15475,2018,16,,3,2,11892,0,0,1,,7,,6,39.6405,-104.961
7033943607,12,12,3995,1999,35,,3,2,215349,0,0,0,,11,1,6,45.1637,-113.894
7033939797,12,12,34900,2015,37,,6,2,42649,0,0,0,,9,,6,39.6405,-104.961
7033921130,12,12,21475,2018,15,,3,2,10683,0,0,1,,7,,6,39.6405,-104.961
7033912739,12,12,14476,2017,12,,3,2,81130,0,0,0,,8,,6,39.6405,-104.961
7047631382,14,13,23295,2013,22,,5,2,63842,0,0,2,,7,9,6,37.1756,-113.608
7033844851,12,12,0,2016,12,0,,0,10,0,0,0,,,0,6,40.5881,-111.884
7033844817,12,12,0,2016,12,0,,2,10,0,0,1,,,,6,40.5881,-111.884
7033844784,12,12,28248,2014,12,0,,2,8543,0,1,2,,,0,6,40.5881,-111.884
7033830282,12,12,23800,2010,,,,2,37700,0,0,,,,,6,33.4564,-112.128
7033720842,12,12,28000,2004,12,2,0,2,67348,0,0,0,1,9,10,6,40.3179,-111.704
7033680889,12,12,15995,2014,32,,6,,103252,0,0,2,,6,9,6,33.4583,-111.926
7033678167,12,12,10550,2014,15,,5,2,79035,4,0,1,,10,0,6,40.7477,-111.939
7033641942,12,12,37995,2017,13,,6,,37152,0,0,0,,6,10,6,33.4583,-111.926
7032995718,12,12,18999,2015,25,0,3,2,37000,0,0,1,,7,10,6,38.615,-121.272
7032995571,12,12,79997,2016,25,0,6,2,28000,0,0,2,,2,10,6,38.615,-121.272
7032995413,12,12,18999,2013,4,0,5,2,65000,0,0,2,,2,0,6,38.615,-121.272
7033599808,12,12,44995,,,,6,2,9650,0,0,0,,6,5,6,33.4583,-111.926
7033599135,12,12,33950,1935,12,,,2,0,0,0,2,,7,10,6,48.4326,-122.338
7033598937,12,12,2500,2004,12,2,5,2,129000,0,1,2,1,2,1,6,41.2627,-111.984
7033519259,12,12,68500,2019,6,3,6,2,8800,0,1,0,1,,,6,40.1625,-111.599
7033508520,12,12,22995,2013,12,,6,2,63425,0,0,2,,6,8,6,33.4583,-111.926
7033478714,12,12,28895,2016,32,,6,2,19086,0,0,0,,9,8,6,45.1637,-113.894
7033472903,12,12,105500,2017,25,0,5,0,35000,0,2,0,,10,1,6,40.6916,-112.001
7032995174,12,12,54997,2010,25,0,6,2,75000,0,0,0,,8,0,6,38.615,-121.272
7032995066,12,12,29999,2012,25,0,6,2,83000,0,0,2,,7,0,6,38.615,-121.272
7047631279,14,13,14795,2008,22,,6,2,164666,0,0,0,,8,10,6,37.1756,-113.608
7033458423,12,12,36995,2014,12,,6,2,93452,0,0,0,,6,0,6,33.4583,-111.926
7033444323,12,12,8950,2014,8,,5,2,58677,4,0,2,,7,5,6,40.7477,-111.939
7033417826,12,12,16500,2006,37,0,,2,,0,1,2,,,8,6,40.9036,-117.794
7033406525,12,12,36995,2015,13,,6,,67425,0,0,0,,6,10,6,33.4583,-111.926
7033389810,12,12,24700,2010,32,0,5,0,262000,0,0,0,,9,9,6,39.3019,-104.818
7033382261,12,12,14900,2010,37,,5,2,78728,0,0,2,,8,,6,39.6405,-104.961
7033368234,12,12,34876,2011,6,,6,2,48289,0,0,2,,2,,6,39.6405,-104.961
7033356648,12,12,12495,2019,29,,3,2,11092,0,0,1,2,7,0,6,39.7039,-105.044
7033353432,12,12,32975,2016,19,,5,2,28282,0,1,0,,8,,6,39.6405,-104.961
7033349656,12,12,6495,2018,12,,3,2,24469,0,0,1,0,7,10,6,39.7039,-105.044
7033339577,12,12,31221,2016,25,,5,2,14222,0,0,0,,7,,6,39.6405,-104.961
7033326157,12,12,19499,2008,19,,5,2,60004,0,1,0,,8,,6,39.6405,-104.961
7033301645,12,12,0,2014,7,,3,2,68908,0,0,1,,7,,6,39.6405,-104.961
7033291267,12,12,13976,2011,37,,3,2,93157,0,1,2,,9,,6,39.6405,-104.961
7033285926,12,12,5495,2016,28,,3,2,55149,5,0,1,0,8,5,6,39.7039,-105.044
7033279476,12,12,8499,2005,38,,3,2,43524,0,0,1,,3,,6,39.6405,-104.961
7032994907,12,12,21999,2004,25,0,6,2,55000,0,0,2,,1,0,6,38.615,-121.272
7032992413,12,12,37995,,,,5,,15252,0,0,0,,6,0,6,33.4583,-111.926
7039834376,6,7,0,2016,5,,3,2,36959,0,0,0,,8,3,7,,
7033273899,12,12,7495,2017,29,,3,2,70109,0,0,1,0,7,10,6,39.7039,-105.044
7033268169,12,12,26950,2019,29,,6,2,8871,0,0,0,,8,0,6,39.7039,-105.044
7033266224,12,12,6995,2010,7,,5,2,115266,0,0,0,2,8,0,6,39.7039,-105.044
7033264267,12,12,7995,2014,37,,3,2,69260,0,0,1,0,7,9,6,39.7039,-105.044
7033259770,12,12,2250,2004,37,,3,2,113248,5,0,1,,3,9,6,39.7039,-105.044
7032950500,12,12,59995,,,,6,,6815,0,0,0,,6,0,6,33.4583,-111.926
7033249926,12,12,2800,2006,0,,3,2,104421,5,0,1,,7,9,6,39.7039,-105.044
7033248670,12,12,5495,2015,29,,3,2,75506,0,0,2,,6,10,6,39.7039,-105.044
7033242672,12,12,8995,2019,29,,3,2,19558,0,0,1,0,7,1,6,39.7039,-105.044
7033233997,12,12,7995,2019,28,,3,2,8161,5,0,0,0,8,10,6,39.7039,-105.044
7033233133,12,12,3250,2017,12,,3,2,31336,0,0,1,0,7,5,6,39.7039,-105.044
7032711898,12,12,16476,2004,7,,6,2,46153,0,0,2,,1,,6,39.6405,-104.961
7033230001,12,12,6800,2004,29,,5,2,21274,5,1,2,,1,9,6,39.7039,-105.044
7033228648,12,12,14800,2019,7,,3,2,10868,0,0,0,0,8,0,6,39.7039,-105.044
7033226558,12,12,8995,2019,7,,6,2,7974,5,0,2,,10,10,6,39.7039,-105.044
7033225686,12,12,6995,2017,9,,5,2,35370,5,0,0,2,7,0,6,39.7039,-105.044
7033221608,12,12,13495,2014,12,,5,2,69614,5,0,0,1,6,8,6,39.7039,-105.044
7037949356,6,7,0,2016,20,,5,2,18949,0,0,2,,7,10,7,,
7033206570,12,12,5995,2018,20,,3,2,34238,0,0,1,0,7,2,6,39.7039,-105.044
7033205470,12,12,6995,2017,29,,3,2,46578,0,0,1,0,7,8,6,39.7039,-105.044
7033204261,12,12,7995,2019,19,,3,2,19548,0,0,0,0,8,0,6,39.7039,-105.044
7033202167,12,12,7995,2019,9,,5,,24008,0,0,1,2,10,5,6,39.7039,-105.044
7033198497,12,12,0,2016,12,0,,2,10,0,0,0,,,,6,40.5881,-111.884
7033198469,12,12,7200,2004,22,0,,2,150523,0,0,1,,,9,6,40.5881,-111.884
7033198406,12,12,0,2016,12,0,,2,10,0,0,0,,,,6,40.5881,-111.884
7050078672,14,13,12000,2015,38,3,3,2,65000,0,0,1,1,7,10,6,37.179,-113.707
7033197709,12,12,4995,2013,37,,3,3,116083,5,0,1,2,3,10,6,39.7039,-105.044
